Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.0613485,0,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
0.528518,0,0, 0, 4, 0, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.052215,0,0,0,
0.653877,0,0, 0, 4, 0, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0.0690111,0,0,0,
0.778836,0,0, 0, 4, 0, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.11582,0,0,
0.903894,0,0, 0, 4, 0, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.163721,0,0,
0.903894,1,0, 0, 4, 0, 0, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.163721,0,0,
1.02895,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.194747,0,0,
1.15401,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.196243,0,0,
1.27917,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.167761,0,0,
1.40453,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.119139,0,0,
1.52959,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0760689,0,0,
1.65475,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0475225,0,0,
1.7798,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0807482,0,0,
1.90496,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.066766,0,0,
2.02992,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.105486,0,0,
2.15518,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.201522,0,0,
2.28004,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0823343,0,0,
2.4053,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0685429,0,0,
2.53046,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0289549,0,0,
2.65551,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.142659,0,0,
2.78077,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.110113,0,0,
2.90583,1,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0566517,0,0,
2.90583,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0566517,0,0,
3.03089,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
3.53123,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
4.03236,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
4.15742,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,1,0,
4.53279,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
4.65785,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0923498,0,0,
4.78291,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0902259,0,0,
4.90787,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0732724,0,0,
5.03303,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0762905,0,0,
5.15799,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.193971,0,0,
5.28315,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0875595,0,0,
5.4085,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0599233,0,0,
5.53356,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0692062,0,0,
5.65872,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0945047,0,0,
5.78388,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.087988,0,0,
5.90894,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0979143,0,0,
6.0339,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.192282,0,0,
6.159,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.247873,0,0,
6.28432,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.224017,0,0,
6.40924,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.10517,0,0,
6.53476,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.350151,0,0,
6.65979,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.21246,0,0,
6.78498,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.125203,0,0,
6.9099,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0774841,0,0,
7.03502,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0609675,0,0,
7.16045,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0710624,0,0,
7.28558,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0584166,0,0,
7.41081,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0702629,0,0,
7.53583,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.123883,0,0,
7.66096,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.164002,0,0,
7.78649,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.178616,0,0,
7.91102,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.217541,0,0,
8.03625,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.112468,0,0,
8.16148,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.128156,0,0,
8.2866,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0712541,0,0,
8.41183,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0720446,0,0,
8.47419,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0720446,0,0,
8.53686,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
8.72475,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
9.03748,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
9.41296,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
9.53789,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
9.66292,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
10.0386,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
10.1637,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,1,0,
10.5389,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,1,0,
10.664,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
10.7265,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
10.789,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
11.0392,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
11.1645,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
11.2896,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.171766,0,0,
11.4148,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.378518,0,0,
11.5399,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.230484,0,0,
11.665,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.20262,0,0,
11.79,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.324786,0,0,
11.9152,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.24794,0,0,
12.0403,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.104515,0,0,
12.1656,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0468191,0,0,
12.2908,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.0974589,0,0,
12.416,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.158478,0,0,
12.5409,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.173534,0,0,
12.666,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.107108,0,0,
12.791,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.165061,0,0,
12.9162,2,0, 4, 4, 0, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, ||,0,0,0,0,0.225302,0,0,
