Time,Wireless Signal Status,AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4,||,Blink,Wink Left,Wink Right,Surprise,Frown,Smile,Clench,
0.0633485,0,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
0.530418,0,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0,1,0,
0.655577,0,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
0.780836,0,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.144682,0,0,
0.905794,0,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
0.905794,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
1.03095,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0,0,0,
1.15591,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.105269,0,0,
1.28097,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0791706,0,0,
1.40623,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0833204,0,0,
1.53129,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0672838,0,0,
1.65645,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0685738,0,0,
1.7817,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0608911,0,0,
1.90686,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0630903,0,0,
2.03182,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0728805,0,0,
2.15688,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0950204,0,0,
2.28194,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0977391,0,0,
2.407,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0936139,0,0,
2.53216,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0757822,0,0,
2.65721,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0659739,0,0,
2.78247,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0502751,0,0,
2.90753,1,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0612939,0,0,
2.90753,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0612939,0,0,
3.03279,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0412731,0,0,
3.15785,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0505622,0,0,
3.28291,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0841353,0,0,
3.40787,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0943455,0,0,
3.53303,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0821057,0,0,
3.65818,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0849158,0,0,
3.78324,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0746381,0,0,
3.9085,2,0, 4, 4, 0, 4, 4, 4, 4, 2, 1, 4, 4, 4, 4, ||,0,0,0,0,0.0656752,0,0,
